Counting Sort,0.0025308,0.0066299,0.013589,0.020208,0.026124,0.033165,0.039225,0.045258,0.052711,0.058862,0.064692,0.073082,0.078942,0.085726,0.09474
Heap Sort,0.035447,0.098364,0.21777,0.34519,0.48269,0.62227,0.76537,0.9204,1.0738,1.2321,1.4,1.5715,1.7343,1.9009,2.064
Merge Sort,0.023459,0.062239,0.13532,0.21264,0.28889,0.37081,0.45577,0.5374,0.62312,0.70339,0.79497,0.88954,0.97876,1.0746,1.1627
Quick Sort,0.015612,0.042298,0.08767,0.14071,0.19516,0.24212,0.29848,0.34928,0.4047,0.48219,0.54148,0.60489,0.65219,0.70088,0.77521
Python Sort,0.00079517,0.0023883,0.0054983,0.0086687,0.011797,0.015108,0.018364,0.021866,0.025424,0.028931,0.032618,0.036924,0.04067,0.044608,0.049135
